review_id,location_id,hotel_name,city,review,rating,ground_truth_sentiment
1016464488,11953119,Nh Collection Colombo,Colombo,good stay found lighters toilet paper rolls non smoking room give us twin beds even though booked,1,1
1016435128,11953119,Nh Collection Colombo,Colombo,definitely recommend hotel excellent food good rooms clean view beautiful room staff friendly come back one time,5,1
1016307864,11953119,Nh Collection Colombo,Colombo,wonderful stay comfortable staycooperative stafffast service good foodbut variety indian food less restaurant cooks need english speaking,5,1
1016165618,11953119,Nh Collection Colombo,Colombo,favorite 4 star hotel colombo live new york area spouse family colombo visit quite regularly years stayed multiple hotels nh collection formerly movenpik imo best combination well maintained highlevel public areas spotless modern rooms expansive views two sumptuous restaurants thai indian imo hotel offers best thing buck,5,1
1015472232,11953119,Nh Collection Colombo,Colombo,excellent food stay excellent food especially indian corner lot vegetarian options thanks chef mangal team breakfast large spread ranging dedicated indian corner thai sri lankanthe juices smoothies also good,5,1
1015273964,11953119,Nh Collection Colombo,Colombo,outstanding spotless immaculate premises room spacious beyond comfortable staff friendly attentive actually booked another hotel following week decided extend stay instead highly recommended,5,1
1014999202,11953119,Nh Collection Colombo,Colombo,like house keeping also respition good nice like forget buffy system food court nice surver kanjana alexander good giant,5,1
1014833373,11953119,Nh Collection Colombo,Colombo,everything wonderful everything amazing breakfast lunch delicious room spacious clean high floor beautiful ocean view theres even swimming pool spa rooftop need leave early trip hotel prepare breakfast long let know advance program made everything feel perfect,5,1
1014333139,11953119,Nh Collection Colombo,Colombo,great experience last week family great experience relaxing holiday security officers front hotel managers level friendly polite made kids smile time meet lady receptionist professional polite explained us hotel facilities taken lounge welcome drinks personally loved mirrors lobby washroom lobby washrooms super clean met nice gentleman lounge mr asela friendly polite assist us rooms rooms super clean spacious specially need 2 kids love play floor enjoyed evening rooftop pool jacuzzi relaxing must mention restaurant staff helpful breakfast buffet absolutely fantastic enjoyed sri lankan items one corner really delicious loved highly recommend hotel kinds travelers without doubt big thanks mr asela housekeeping manager front office team restaurant kitchen team also security team making stay relaxing memorable one,5,1
1014217923,11953119,Nh Collection Colombo,Colombo,good highly recommend accommodating staff lovely restaurant bars always willing help rooms spacious clean enjoyed atmosphere hospitality,5,1
