review_id,location_id,hotel_name,city,review,rating,aspect
697985229,3220199,Subhas Hotel,Jaffna,landed perfect hotel jaffna located prime location rooms spacious kept clean high standards staff helpful courteous enjoyed good jaffna authentic food well maintained bar everything location perfect visits able get back room day,4,4_location
1015796423,306381,Ramada by Wyndham Colombo,Colombo,great service stay great inusha madhavi prasanna great went beyond welcomed helpful,5,1_hospitality
827297036,5863531,Royal Castle,Negombo,honey moon night stayed two nights honeymoonwe great welcomewe used pool situated roof topsea viewnice foods good room servicesit calm place beautifulwe hope vist,5,2_services
997068714,23326905,Kenrish Hotel,Wadduwa,wcc 87 al batch getogether exciting moment kentish hotel wadduwa pothupitiya atmosphere hotel surrounding calm amazing excellent guest service moderate meal plan feelings tasty devout mouth experience never forget forever,5,4_location
1015645770,2510666,Jetwing Lagoon Wellness,Negombo,spa jetwing lagoon superb head shoulder foot massage therapist indika highly skilled firm grip strong pressureperfect prefer deeper work tight muscles,5,2_services
889286748,1160171,The Oasis Ayurveda Beach Resort,Hambantota,everything fine good people oasis hotel resort nice hotel good food restaurant people nice meet person sent family company look like good time,5,1_hospitality
865299810,23587000,Earl's Rajarata,Anuradhapura,great hotel wonderful staff definitely returning next time anuradhapura party 12 stayed earls rajarata fron 14th 16th september 2 nights 3 days staff able group us together 5 rooms 1st floor one room ground floor grateful time made reservation time left hotel friendliness efficiency every one staff best everyone always ready lend helping hand quick respond needs whether asking extra towel friendly chat lobby chef kitchen serving staff also wonderful party vegetarians chef adjusted various menus suit needs due early morning pilgrimage one days katina pinkama asked could breakfast one half hours earlier usual time chef staff absolutely delivered many delicious options choose morning every meal portions meals huge definitely wont go hungry stay earls rajarata rooms airy clean stocked amenities needed fridge kettle selection teas etc also powerful emergency lights case power cuts thoughtful although need use end bathrooms also clean well stocked 2 family rooms 2 triple rooms 2 double rooms spacious views balconies beautiful hotel short drive ruwanweliseya sri maha bodhiya good going pilgrimage checking checking fast free hassle reception staff brilliant friendly stay also phone made reservation sad leave short holiday say 100 certainty definitely staying earls rajarata whenever head anuradhapura thank taking good care 12 us,5,1_hospitality
1012507426,505588,Berjaya Hotel Colombo,Dehiwala-Mount Lavinia,great stay stay comfortable service welcoming assisted well staff friendly would attend anything required fb manager roshan leo accomodating friendly also gives great customer experience,5,1_hospitality
1014148799,316671,Mermaid Hotel & Club,Kalutara,wonderful stay mermaid hotel club went hotel anniversary stay wonderful arranged something special anniversary staff super helpful highly recommend hotel,5,1_hospitality
999901918,13336245,Ahas Gawwa,Padukka,quality time ahas gawwa place beautiful staff ahas gawwa also helpful beautiful scenery mountains kid loved place also loved swimming pool also nice food also amazing overall good time enjoying ahas gawwa,5,4_location
1013826636,579219,Pegasus Reef Hotel,Wattala,closes nice place pegasus reef close destiny airport bit away city scenic view indian ocean small japanese group night stay guests happy stay specially thanked reception msmadhu helping us,5,4_location
459110674,2450524,Hotel Yapahuwa Paradise,Yapahuwa,buffet food less quality visited august 2015 office colleagues even though good facilities good room services quality rooms amazing pool buffet good recommended,3,2_services
634339078,1815619,Monty Hotel,Ampara,ecofriendly hotel sweeping gaze paddy fields palm trees beyond surrounded nature group locals mainly vintage holiday travel wife stayed surrounded mostly small man made moat one side banks cluster bamboo trees shady tall trees falls wide paddy fields muddy planting sight greener paddy fields coconut trees beyond pleases eyes liking relax lazy coolness blowing wind swimming pool greenery makes refreshingly mind body lobby many comfortable settees nice decor restaurant provided us tasty meals local choice food rooms spacious seating area shower toiletries tea coffee satellite cable flat screen tv mini bar etc comforts 3 manager cordial helpful hotel may caters business traveler staying overnight visiting places interest gal oya basin city center ampara hey depends attitude perceptions likeness appreciate etc comforts service provider gives hospitality,4,4_location
729160625,19516569,The Gray Villa,Galle,volunteer center great hostel volunteers working environmental humanitarian projects region accommodations dorm like 26 people per room shared bathrooms 3 meals per day available well transfers airport colombo,3,4_location
1016177550,8116054,Anantara Peace Haven Tangalle Resort,Tangalle,nice need additional activities season beaches closed krishan randika kavindi really exemplary additional activities offered season beach closed otherwise really pool,4,2_services
1000205592,27506367,Euphoria White House Nuwaraeliya,Nuwara Eliya,satisfied awful experience hotel staff incredibly rude telling shut simply trying enjoy time also strictly prohibited music making atmosphere feel cold unwelcoming hospitality making guests feel comfortable place opposite youre looking relaxing friendly environment stay far away hotel,1,3_negative
